issued,consumed,available,address
1,0,1,0xEd6003e7A6494Db4ABabEB7bDf994A3951ac6e69
2,0,2,0xe66338c67B82fcaa0Ac4c8369c74C2B4EC5a0bAd
1,0,1,0xfDF03Cf3C7A260fdb732929948fD5C3cB39544Bf
2,0,2,0x4C83d4Dca7b0E92A4b7E108E98F59178680A5AcB
1,0,1,0xC69325FE2449fbDC064018B0C0Ca246E7067db54
4,0,4,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
7,0,7,0x183feBd8828a9ac6c70C0e27FbF441b93004fC05
10,0,10,0x718FfdC2b4e813E7d200C6086B5425fd6a219CFF
1,0,1,0xE820F08968489c466C77c2EA1A5c436d8c70D896
612,600,12,0xD1692f1c6B50D299993363bE1c869e3e64842732
20,20,0,0x921E7eBebFB4F37A3770c5CCaFC108ac31c8D438
30,30,0,0x360bBAD1120B0ABF63573e2e21B6727e07D1Bf18
1,0,1,0x765FEc224E701c36870f088bab3d18648eb765e3
10,10,0,0xC857ec9a3Ed2C59cbBC4954F11311fdd7532DB15
10,10,0,0x22406c0a2eb0A0a1c4FdABd56F695f205E3fa2D1
10,10,0,0x5D92fd7e52f9bA04abb84D80c1a107dFe51f8473
10,10,0,0xa1559B8c9b52dFDC6300549e3f6a8374B91bd50e
10,10,0,0x80ea4ece903c42497cd7A41F541985c7211d6216
10,10,0,0x0E75143296497f488f0E5a3bb3CF11ed9328fd78
10,10,0,0x965A166c4C6f662fCee05902bF2e137aFA80B3a2
10,10,0,0xBBeF61229A8D6eB2d6FB5D3a968af24a95984F0E
10,10,0,0xbd55b2e3167637b71DD41e31f84D223930584798
10,10,0,0xd820e895956e5315F813a53b2Bb9CeA29B6Adc61
10,10,0,0x2aab510050BDAbcd204C9C6877A2281Fc122E946
1,0,1,0x040BFA96615fCEED61E68223feF17B72EC0197Ff
18,0,18,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
10,10,0,0x95cD2B7E952cDa42d16d21d07C49f66aE14DA2Ec
10,10,0,0xd1f622d61A11cd420415cb7de5482956D761DBe8
10,10,0,0x726614E49E844AaE1c167a293BD06BEca8a51705
30,30,0,0xCfF9963B8602dFBb7fB0a44C2d5c73AA1bCbfF03
10,0,10,0x5C4a99410bbb5fDd330c65488AFAAA121e7fb437
5,0,5,0x263b604509D6a825719859Ee458b2D91fb7d330D
10,10,0,0xA9232C4EF4725A8A256aB638065AC03eB8651Fa0
10,10,0,0x30404a2900E8EA5c08eEeB284E9B2bebfC01C58d
10,10,0,0xf39d65EcfEA0497cb5911DC499222F81506CA249
10,10,0,0xd3758d7a3F28b0EbB44bE71Bb78Bdd773b1B14c2
10,10,0,0xA15e09311a8b0fCc8edebdCEb427EeAf1Cf96D98
10,10,0,0xF5e37E330b170D7c9B7EBEC5F6Dd92D71a1b45A4
10,10,0,0x573A6BF63AD5e24275F686E9655731cC6048E005
10,10,0,0x22f0146E4FFdF109B7069BB92F4F421eDEE87d4E
10,10,0,0x91bDA0b13AEb5ec89533fcd4F5b190e1aC93f5cA
10,10,0,0x21AE65E0d62775a01ebd6a292994080c91fa92F8
10,10,0,0xb51694051d0294EccDa91b62B05c7637B5bF348B
20,20,0,0xb9AcE70Ce234180f009aEE04FC84fD755856fE86
10,0,10,0xbC1B89612B8C8e006929197569818e785e427bfb
22,0,22,0x35632b6976b5b6eC3F8D700FAbB7e1e0499C1BfA
1,0,1,0xdD25963251fCEB0A7BEf9BB713EED260829F5656
10,10,0,0xF73421c341218cb40148A9bdfC60Fa7B989576C8
10,10,0,0x8735117d6110AE36FD15aC093046ac9A31B5a9E2
10,10,0,0x6771450ACcB00177f0392094D3B41e648A96F1e0
2,0,2,0x01Af7EEAcAe5F2303b2b5DAfAEd55ECB4Ebfe0eD
4,0,4,0x4906E4f95ad546cE865916F65C825e00630bFfa8
10,10,0,0xE669331AC656eF11AC75391278bA7FB83aE62394
10,10,0,0x254F441Fcc7fA80b494c6E65BF8ec0a4e894f282
1,0,1,0xdB856e59b077f9d2548719a71e549a7B61cB78E3
5,0,5,0xfBf13497056F33300Ad82511c6A1349dd3d2Ae26
20,20,0,0x778F7434956b899303708fA3c5Fad85bf9D93e06
2,0,2,0x2845a83D2A6cb264A5E35103EF10472746f43c4d
1,0,1,0x7a92881F55bF105ff5954A637A37F2F9A07Dc5a0
2,0,2,0xFEfBdC19a0d855a8b9bBf79144BC32Cc7EedA019
1,0,1,0x198d5BF898d7cb4531fD35C8a9B9853c915904Ea
1,0,1,0x24257f2FFb8B962ff7D48819617b095bea9EaE2A
1,0,1,0x983961F34fC4cFC5EAfec371CDBA9d56fF8C1935
1,0,1,0x8C78481E28Dc6B2285099B2C7Dc4515680d0dC7c
10,0,10,0xf7EE6C2F811b52c72EFD167A1bb3F4AdAa1E0F89
20,20,0,0x8Fd1Ac1c6530acc0A8CA18311925264c9ec9121d
1,0,1,0xCB9B03196F1232C4C3Cc16cB806AFDd93dA4126b
1,0,1,0xf38de5479C638a157812BC959BE5892e7D22e8Ee